2025-04-08T06:46:23.597Z [INFO]: 
🚀 Server listening on port 3000
2025-04-10T05:10:46.729Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:10:46.733Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:10:46.736Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:10:46.741Z [INFO]: GET /users/all - ::1
2025-04-10T05:10:47.747Z [INFO]: GET /projects/all - ::1
2025-04-10T05:15:14.486Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:15:14.489Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:15:14.491Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:15:14.495Z [INFO]: GET /users/all - ::1
2025-04-10T05:15:34.836Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:15:34.839Z [INFO]: GET /projects/all - ::1
2025-04-10T05:15:35.604Z [INFO]: OPTIONS /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:15:35.606Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:15:35.613Z [INFO]: GET /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:15:35.616Z [INFO]: GET /users/all - ::1
2025-04-10T05:15:43.232Z [INFO]: OPTIONS /projects/add-user - ::1
2025-04-10T05:15:43.235Z [INFO]: PUT /projects/add-user - ::1
2025-04-10T05:16:37.673Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T05:16:37.676Z [INFO]: POST /users/login - ::1
2025-04-10T05:16:38.261Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:16:38.268Z [INFO]: GET /projects/all - ::1
2025-04-10T05:16:42.902Z [INFO]: OPTIONS /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:16:42.912Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:16:42.919Z [INFO]: GET /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:16:42.922Z [INFO]: GET /users/all - ::1
2025-04-10T05:20:39.782Z [INFO]: OPTIONS /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:20:39.784Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:20:39.786Z [INFO]: GET /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:20:39.787Z [INFO]: GET /users/all - ::1
2025-04-10T05:20:55.615Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T05:20:55.618Z [INFO]: POST /users/login - ::1
2025-04-10T05:20:56.046Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:20:56.051Z [INFO]: GET /projects/all - ::1
2025-04-10T05:21:47.092Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T05:21:47.095Z [INFO]: POST /users/login - ::1
2025-04-10T05:21:47.321Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:21:47.327Z [INFO]: GET /projects/all - ::1
2025-04-10T05:21:49.672Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:21:49.687Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:21:49.694Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:21:49.696Z [INFO]: GET /users/all - ::1
2025-04-10T05:24:24.002Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T05:24:24.005Z [INFO]: POST /users/login - ::1
2025-04-10T05:24:24.198Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:24:24.205Z [INFO]: GET /projects/all - ::1
2025-04-10T05:24:26.204Z [INFO]: OPTIONS /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:24:26.209Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:24:26.210Z [INFO]: GET /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:24:26.215Z [INFO]: GET /users/all - ::1
2025-04-10T05:26:07.276Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:26:07.281Z [INFO]: GET /projects/all - ::1
2025-04-10T05:26:07.810Z [INFO]: OPTIONS /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:26:07.811Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:26:07.820Z [INFO]: GET /projects/get-project/67f7528cc808c24a04a250f0 - ::1
